time,tem,heating rate,,,
min,K,K/min,,,
3.483333333,333.03,95.60669856,99.90069513,0.000827541,Training
3.5,333.19,95.19714286,99.90069513,0.000827541,Training
3.516666667,333.35,94.79146919,99.90069513,0.000827541,Training
3.533333333,333.53,94.39528302,99.90069513,0.000827541,Training
3.55,333.68,93.9943662,99.90069513,0.000827541,Validation
3.566666667,333.86,93.60560748,99.90069513,0.000827541,Test
3.583333333,334.01,93.21209302,99.90069513,0.000827541,Training
3.6,334.16,92.82222222,99.90069513,0.000827541,Training
3.616666667,334.36,92.44976959,99.90069513,0.000827541,Training
3.633333333,334.49,92.06146789,99.90069513,0.000827541,Training
3.65,334.69,91.69589041,99.90069513,0.000827541,Training
3.666666667,334.84,91.32,99.90069513,0.000827541,Training
3.683333333,334.99,90.94751131,99.90069513,0.000827541,Test
3.7,335.19,90.59189189,99.90069513,0.000827541,Training
3.716666667,335.31,90.21793722,99.90069513,0.000827541,Training
3.733333333,335.53,89.87410714,99.90069513,0.000827541,Training
3.75,335.66,89.50933333,99.90069513,0.000827541,Training
3.766666667,335.83,89.15840708,99.90069513,0.000827541,Validation
3.783333333,336.02,88.81585903,99.90069513,0.000827541,Training
3.8,336.16,88.46315789,99.90069513,0.000827541,Training
3.816666667,336.36,88.12925764,99.90069513,0.000827541,Training
3.833333333,336.5,87.7826087,99.90069513,0.000827541,Validation
3.85,336.68,87.44935065,99.90069513,0.000827541,Training
3.866666667,336.85,87.11637931,99.90069513,0.000827541,Test
3.883333333,337,86.78111588,99.90069513,0.000827541,Training
3.9,337.18,86.45641026,99.90069513,0.000827541,Training
3.916666667,337.35,86.13191489,99.90069513,0.000827541,Training
3.933333333,337.5,85.80508475,99.90069513,0.000827541,Training
3.95,337.68,85.48860759,99.90069513,0.000827541,Training
3.966666667,337.85,85.17226891,99.90069513,0.000827541,Training
3.983333333,338.01,84.85606695,99.90069513,0.000827541,Training
4,338.2,84.55,99.90069513,0.000827541,Training
4.016666667,338.33,84.23153527,99.90069513,0.000827541,Training
4.033333333,338.53,83.93305785,99.90069513,0.000827541,Training
4.05,338.68,83.62469136,99.90069513,0.000827541,Training
4.066666667,338.84,83.32131148,99.90069513,0.000827541,Training
4.083333333,339.04,83.03020408,99.90069513,0.000827541,Validation
4.1,339.16,82.72195122,99.90069513,0.000827541,Test
